Lat(deg),Lat,Long(deg),Long
42¡23_42_N,42.39493856,72¡50_29_W,-72.84125744
42¡26_50_N,42.44718622,72¡59_48_W,-72.99668527
42¡35_00_N,42.58346905,71¡26_38_W,-71.44389595
42¡01_22_N,42.02266448,72¡52_21_W,-72.87252787
42¡40_50_N,42.68044273,70¡58_52_W,-70.98108324
42¡28_21_N,42.4725998,71¡00_19_W,-71.00518634
42¡37_31_N,42.6253796,72¡44_53_W,-72.7481477
42¡03_02_N,42.05047246,71¡41_27_W,-71.69075321
42¡40_08_N,42.66894692,71¡21_38_W,-71.3605842
42¡06_28_N,42.10778164,71¡13_30_W,-71.22506624
42¡16_26_N,42.27390371,72¡22_35_W,-72.37631588
42¡35_51_N,42.59760481,72¡42_43_W,-72.71194489
42¡04_24_N,42.07328984,72¡39_52_W,-72.66444563
42¡07_11_N,42.11985472,71¡17_51_W,-71.2975957
42¡18_55_N,42.31518509,72¡58_37_W,-72.97695091
42¡31_47_N,42.52981728,72¡11_50_W,-72.19735623
42¡33_50_N,42.5638002,72¡24_19_W,-72.40520261
42¡40_58_N,42.68271604,72¡00_53_W,-72.01474629
42¡14_06_N,42.23499544,73¡08_04_W,-73.13437753
42¡09_59_N,42.16679911,72¡04_08_W,-72.06891274
42¡24_47_N,42.4129732,72¡31_15_W,-72.52085157
42¡33_42_N,42.56170152,72¡09_45_W,-72.16251494
42¡20_29_N,42.34138622,72¡55_14_W,-72.92049703
42¡03_42_N,42.06153792,72¡38_12_W,-72.63661924
42¡03_12_N,42.05328451,72¡25_44_W,-72.42894822
42¡34_25_N,42.57371538,72¡46_11_W,-72.76973196
42¡35_12_N,42.58667643,72¡32_15_W,-72.53738965
42¡08_11_N,42.13648511,72¡37_58_W,-72.63281402
42¡33_14_N,42.55388997,72¡54_22_W,-72.90621882
42¡41_23_N,42.68982697,73¡11_31_W,-73.19181406
42¡31_39_N,42.52755365,73¡21_21_W,-73.3558583
42¡25_22_N,42.42281258,71¡03_58_W,-71.06612338
42¡31_50_N,42.53061302,71¡04_41_W,-71.07815737
42¡09_33_N,42.15925402,72¡11_52_W,-72.19768878
42¡05_15_N,42.08757922,72¡06_16_W,-72.10442313
42¡41_28_N,42.69105168,71¡55_59_W,-71.93294995
42¡21_14_N,42.35392747,71¡29_48_W,-71.49671864
42¡16_22_N,42.27289293,71¡26_08_W,-71.4356593
42¡41_54_N,42.69840747,72¡00_25_W,-72.00699367
42¡02_38_N,42.04402153,72¡31_28_W,-72.52434027
42¡03_43_N,42.06189153,71¡36_43_W,-71.61201797
42¡00_52_N,42.01457941,73¡14_05_W,-73.23477811
42¡33_33_N,42.55929179,71¡40_04_W,-71.66770324
42¡14_21_N,42.23903476,71¡41_36_W,-71.69319605
42¡06_17_N,42.10477913,72¡06_37_W,-72.1103651
42¡25_06_N,42.41839006,72¡51_44_W,-72.86232268
42¡06_38_N,42.1106769,72¡36_34_W,-72.60941777
42¡40_49_N,42.68019231,71¡23_28_W,-71.39102715
42¡37_59_N,42.63314653,72¡07_36_W,-72.12670832
42¡28_47_N,42.47969347,72¡53_43_W,-72.89520339
42¡25_34_N,42.42613587,71¡00_31_W,-71.00859638
42¡16_19_N,42.27194848,71¡57_44_W,-71.9622682
42¡34_39_N,42.5774788,71¡35_25_W,-71.59029093
42¡29_37_N,42.49368717,72¡05_30_W,-72.09164815
42¡15_03_N,42.25081708,72¡59_02_W,-72.98387576
42¡09_02_N,42.15052079,72¡55_53_W,-72.93134421
42¡05_20_N,42.08890452,71¡43_50_W,-71.73052689
42¡08_18_N,42.13832317,71¡45_42_W,-71.76153515
42¡35_39_N,42.59419869,71¡45_46_W,-71.76276264
42¡41_37_N,42.69355633,71¡09_23_W,-71.15638959
42¡09_26_N,42.15720886,71¡23_43_W,-71.39517991
42¡32_01_N,42.53353676,73¡15_03_W,-73.25074593
42¡21_05_N,42.35134333,73¡01_11_W,-73.0196385
42¡31_12_N,42.52012701,71¡59_40_W,-71.99456446
42¡11_21_N,42.18920835,73¡19_35_W,-73.32627538
42¡36_29_N,42.60810976,72¡18_47_W,-72.31318958
42¡16_18_N,42.27161407,72¡08_38_W,-72.14375203
42¡36_25_N,42.60705807,71¡56_32_W,-71.94227588
42¡06_06_N,42.10175472,72¡00_07_W,-72.0020824
42¡21_56_N,42.36553881,71¡43_57_W,-71.73262563
42¡06_56_N,42.11566825,73¡02_51_W,-73.04758849
42¡08_47_N,42.14648601,71¡30_14_W,-71.50382291
42¡15_38_N,42.26059301,71¡16_05_W,-71.26797805
42¡01_35_N,42.02639568,72¡02_43_W,-72.04514962
42¡30_18_N,42.50510386,73¡18_31_W,-73.30849453
42¡36_58_N,42.61608554,72¡04_22_W,-72.07290299
42¡07_58_N,42.13285588,72¡24_25_W,-72.40695313
42¡35_13_N,42.58681722,72¡38_33_W,-72.64237434
42¡03_46_N,42.06282389,72¡58_28_W,-72.97457746
42¡26_22_N,42.43955479,73¡02_51_W,-73.04757243
42¡17_29_N,42.29149406,72¡58_39_W,-72.97741687
42¡32_13_N,42.53706628,71¡16_24_W,-71.2732191
42¡11_32_N,42.19221159,73¡06_47_W,-73.11293381
42¡26_40_N,42.44433633,72¡05_30_W,-72.09167434
42¡11_53_N,42.19813246,72¡29_03_W,-72.48426056
42¡08_25_N,42.14014809,71¡47_59_W,-71.7999942
42¡23_28_N,42.39099201,72¡47_45_W,-72.79586899
42¡07_31_N,42.12515268,72¡06_35_W,-72.10982808
42¡27_01_N,42.45027508,71¡15_32_W,-71.25882833
42¡29_53_N,42.49797472,72¡18_04_W,-72.30111712
42¡22_30_N,42.3751313,72¡45_02_W,-72.75042111
42¡10_28_N,42.17445795,71¡57_25_W,-71.95697249
42¡26_14_N,42.43720657,72¡11_32_W,-72.19227189
42¡06_49_N,42.11358312,72¡08_44_W,-72.14548246
42¡08_22_N,42.13950182,72¡20_31_W,-72.34191166
42¡10_55_N,42.18193563,71¡17_56_W,-71.29876644
42¡00_25_N,42.0070224,72¡30_59_W,-72.51635927
42¡39_20_N,42.65568663,72¡08_07_W,-72.13541491
42¡22_57_N,42.38260984,73¡04_27_W,-73.07411664
42¡32_13_N,42.53686966,73¡06_40_W,-73.11115549
42¡18_16_N,42.30456503,73¡22_29_W,-73.37466212
42¡10_13_N,42.17029786,72¡52_33_W,-72.87572276
42¡22_27_N,42.37426914,73¡18_27_W,-73.30743711
42¡14_09_N,42.23578107,72¡25_05_W,-72.41810302
42¡02_26_N,42.04045649,72¡26_33_W,-72.44254221
42¡38_41_N,42.64474647,71¡26_51_W,-71.44751705
42¡30_19_N,42.50541053,73¡18_02_W,-73.30047664
42¡11_44_N,42.19545393,72¡28_09_W,-72.46908293
42¡13_44_N,42.22875473,71¡48_45_W,-71.81242134
42¡05_57_N,42.09903069,72¡33_45_W,-72.56259216
42¡40_12_N,42.67001091,72¡57_02_W,-72.95054673
42¡12_44_N,42.21224248,73¡07_17_W,-73.12127218
42¡04_54_N,42.0816853,71¡39_12_W,-71.65335313
42¡25_18_N,42.4216472,73¡02_49_W,-73.04696238
42¡17_50_N,42.29729095,71¡27_18_W,-71.45497111
42¡10_13_N,42.17021807,71¡17_30_W,-71.29168835
42¡23_33_N,42.39246972,71¡04_08_W,-71.06885536
42¡27_42_N,42.4617996,72¡09_09_W,-72.15254387
42¡29_17_N,42.48810806,71¡12_14_W,-71.20375129
42¡06_39_N,42.11073915,73¡17_09_W,-73.28583247
42¡23_58_N,42.39942067,71¡33_31_W,-71.55859146
42¡16_14_N,42.27066174,72¡56_49_W,-72.94684723
42¡25_48_N,42.42986327,71¡12_20_W,-71.20551565
42¡33_12_N,42.55332474,72¡23_52_W,-72.39764204
42¡02_48_N,42.04677421,72¡29_59_W,-72.49958838
42¡09_52_N,42.16445223,73¡05_18_W,-73.08824235
42¡04_43_N,42.07870167,71¡00_46_W,-71.01290582
42¡24_27_N,42.40762025,72¡41_51_W,-72.69761556
42¡22_13_N,42.37014907,73¡10_21_W,-73.17245114
42¡32_21_N,42.53923605,73¡15_36_W,-73.26009567
42¡10_10_N,42.16935642,72¡29_52_W,-72.49779361
42¡17_03_N,42.28409173,73¡09_09_W,-73.15248436
42¡27_57_N,42.46594647,71¡07_27_W,-71.12424327
42¡40_23_N,42.67307236,71¡27_11_W,-71.45298583
42¡04_31_N,42.07524736,73¡16_10_W,-73.26949685
42¡09_17_N,42.15466422,72¡34_34_W,-72.57602216
42¡28_43_N,42.47866372,72¡33_27_W,-72.55751936
42¡36_18_N,42.60488182,72¡25_07_W,-72.41874007
42¡00_09_N,42.00246768,72¡20_43_W,-72.34529063
42¡32_28_N,42.54097613,72¡54_02_W,-72.90054113
42¡25_57_N,42.43252706,71¡32_39_W,-71.54408632
42¡23_41_N,42.3948257,71¡07_21_W,-71.12236284
42¡06_08_N,42.10209544,72¡23_59_W,-72.39965329
42¡36_55_N,42.61515071,71¡06_45_W,-71.11250976
42¡19_11_N,42.31984591,71¡47_34_W,-71.79276102
42¡10_45_N,42.17928821,73¡11_38_W,-73.19401897
42¡28_26_N,42.47389985,71¡52_20_W,-71.87224089
42¡23_55_N,42.39850865,73¡04_30_W,-73.07507296
42¡09_15_N,42.15407535,70¡59_48_W,-70.99658111
42¡25_35_N,42.426308,72¡59_50_W,-72.99726547
42¡01_59_N,42.03297143,72¡13_13_W,-72.22014566
42¡03_10_N,42.05276196,71¡09_17_W,-71.15479459
42¡23_05_N,42.38462956,71¡32_27_W,-71.54085337
42¡26_22_N,42.43947658,73¡15_45_W,-73.26259622
42¡13_54_N,42.23158768,71¡43_27_W,-71.72424528
42¡11_52_N,42.19774586,72¡16_35_W,-72.27636851
42¡39_25_N,42.65700832,72¡10_16_W,-72.17115246
42¡23_21_N,42.3892181,72¡38_42_W,-72.64508934
42¡20_14_N,42.33732176,72¡24_13_W,-72.40371621
42¡04_56_N,42.08224512,71¡56_43_W,-71.94519
42¡29_22_N,42.48940254,72¡56_10_W,-72.93616798
42¡23_35_N,42.39316452,71¡13_28_W,-71.22452961
42¡09_13_N,42.15363625,72¡45_41_W,-72.76150615
42¡05_50_N,42.09721258,72¡47_51_W,-72.79737025
42¡10_41_N,42.17816441,72¡43_06_W,-72.71822586
42¡41_29_N,42.69132981,71¡18_48_W,-71.3133116
42¡07_15_N,42.12090223,72¡21_59_W,-72.36626467
42¡18_12_N,42.30327435,71¡00_04_W,-71.00118441
42¡41_01_N,42.6835633,72¡10_58_W,-72.18272031
42¡21_41_N,42.36144484,71¡53_58_W,-71.89940714
42¡37_14_N,42.62067062,72¡58_37_W,-72.97704685
42¡12_23_N,42.20646416,72¡07_13_W,-72.12019651
42¡31_41_N,42.52810958,73¡18_39_W,-73.31090776
42¡04_08_N,42.06884719,72¡36_21_W,-72.60591335
42¡28_47_N,42.47963157,71¡54_10_W,-71.90276881
42¡35_38_N,42.5938579,72¡09_39_W,-72.16081956
42¡39_20_N,42.65549287,73¡01_57_W,-73.03259168
42¡25_18_N,42.42161881,71¡53_56_W,-71.8989152
42¡12_22_N,42.20618471,72¡42_53_W,-72.71482302
42¡24_47_N,42.41307726,72¡01_41_W,-72.02809403
42¡08_55_N,42.14854041,72¡44_48_W,-72.7467918
42¡36_59_N,42.61638495,71¡16_51_W,-71.28081284
42¡22_08_N,42.36886209,73¡22_42_W,-73.3783285
42¡23_20_N,42.38883935,73¡17_03_W,-73.28419296
42¡00_38_N,42.01068798,71¡22_54_W,-71.3817842
42¡31_22_N,42.52275848,72¡08_37_W,-72.1436188
42¡06_55_N,42.11539193,72¡16_45_W,-72.27908332
42¡02_11_N,42.03637572,73¡19_52_W,-73.33106613
42¡07_23_N,42.12298863,70¡58_34_W,-70.97618542
42¡19_46_N,42.32933749,72¡01_28_W,-72.02454756
42¡00_40_N,42.01098111,72¡20_42_W,-72.34493618
42¡00_44_N,42.01229251,72¡37_32_W,-72.62559264
42¡14_54_N,42.24830011,71¡15_42_W,-71.26161087
42¡35_14_N,42.58723237,72¡36_09_W,-72.60240256
42¡15_28_N,42.25782813,71¡40_06_W,-71.6683335
42¡38_54_N,42.64823092,72¡59_54_W,-72.99826134
42¡33_43_N,42.56180563,71¡56_37_W,-71.94350461
42¡24_27_N,42.40746743,73¡08_45_W,-73.14593099
42¡10_26_N,42.17390732,73¡03_11_W,-73.05294694
42¡07_41_N,42.12792609,71¡08_59_W,-71.14980461
42¡05_23_N,42.08979665,72¡09_21_W,-72.15588797
42¡41_04_N,42.68440396,73¡14_49_W,-73.24705911
42¡16_45_N,42.27916093,71¡00_02_W,-71.00048764
42¡25_50_N,42.43062167,71¡33_05_W,-71.55133462
42¡25_37_N,42.426855,71¡09_25_W,-71.15683352
42¡40_07_N,42.66867665,71¡57_20_W,-71.95552986
42¡11_02_N,42.18401767,72¡40_16_W,-72.67113335
42¡06_36_N,42.11009779,71¡25_16_W,-71.42107368
42¡18_58_N,42.31610744,72¡31_59_W,-72.5330612
42¡24_16_N,42.40448535,72¡58_18_W,-72.97172112
42¡28_56_N,42.48226763,72¡18_24_W,-72.30655414
42¡39_57_N,42.66591665,72¡45_20_W,-72.75542036
42¡41_12_N,42.68679144,71¡43_04_W,-71.71764513
42¡10_24_N,42.17329999,72¡50_44_W,-72.84545629
42¡31_10_N,42.51940436,72¡10_35_W,-72.17626398
42¡24_02_N,42.40060368,72¡05_54_W,-72.09824967
42¡06_18_N,42.10489683,72¡30_55_W,-72.51515901
42¡20_41_N,42.34462599,73¡04_09_W,-73.06910483
42¡19_35_N,42.32644167,71¡19_07_W,-71.31862378
42¡10_37_N,42.17698693,71¡49_49_W,-71.83027746
42¡23_47_N,42.39633549,71¡43_13_W,-71.7202434
42¡00_50_N,42.0138511,72¡07_24_W,-72.12340596
42¡09_02_N,42.15063609,71¡05_33_W,-71.09239166
42¡05_15_N,42.08745113,71¡35_16_W,-71.58788315
42¡38_26_N,42.64061916,73¡04_03_W,-73.06749248
42¡17_10_N,42.28617278,72¡59_04_W,-72.98452747
42¡03_26_N,42.05719628,73¡01_45_W,-73.02916674
42¡17_30_N,42.29157495,72¡48_52_W,-72.8144303
42¡19_56_N,42.33222992,72¡09_05_W,-72.15139722
42¡23_27_N,42.39083084,70¡59_21_W,-70.98906814
42¡31_16_N,42.52122857,72¡25_25_W,-72.4237184
42¡38_52_N,42.64772009,73¡20_54_W,-73.34826896
42¡09_31_N,42.15864665,72¡22_35_W,-72.37652404
42¡37_01_N,42.61702629,71¡21_46_W,-71.36283928
42¡04_02_N,42.06733447,72¡06_27_W,-72.10753175
42¡01_15_N,42.02090576,72¡56_48_W,-72.94680168
42¡28_04_N,42.46787124,71¡55_00_W,-71.91665525
42¡03_47_N,42.06297225,72¡27_46_W,-72.46281264
42¡29_37_N,42.49359914,73¡06_55_W,-73.11528339
42¡27_14_N,42.45390869,72¡48_29_W,-72.80807789
42¡20_23_N,42.33972912,73¡16_14_W,-73.27065854
42¡37_38_N,42.62711376,71¡39_39_W,-71.66074154
42¡23_28_N,42.39124701,72¡31_40_W,-72.52780137
42¡08_30_N,42.14159233,72¡32_58_W,-72.54935548
42¡26_05_N,42.43463994,72¡24_39_W,-72.41076985
42¡10_42_N,42.1783413,71¡10_12_W,-71.1699784
42¡30_08_N,42.50216834,73¡20_51_W,-73.34757352
42¡13_24_N,42.22321121,71¡38_42_W,-71.64486928
42¡25_37_N,42.42694284,71¡47_36_W,-71.7933688
42¡28_30_N,42.47501288,72¡47_51_W,-72.79763523
42¡09_16_N,42.15452187,72¡16_12_W,-72.26987885
42¡15_39_N,42.26084259,71¡10_55_W,-71.18192333
42¡34_42_N,42.57829072,72¡41_42_W,-72.69492984
42¡08_37_N,42.14359479,72¡49_36_W,-72.82661944
42¡23_25_N,42.39016676,72¡22_18_W,-72.3717949
42¡31_12_N,42.51998031,71¡22_24_W,-71.37326071
42¡34_27_N,42.57416724,71¡39_09_W,-71.65255228
42¡20_12_N,42.33678766,71¡02_30_W,-71.04170886
42¡34_27_N,42.57408596,73¡04_46_W,-73.07930871
42¡24_14_N,42.40384172,72¡44_10_W,-72.73611901
42¡37_59_N,42.63333643,71¡28_54_W,-71.48158924
42¡20_04_N,42.33436474,73¡21_24_W,-73.35657028
42¡39_07_N,42.65182121,72¡06_39_W,-72.11088455
42¡32_21_N,42.53928068,71¡48_28_W,-71.80764956
42¡07_16_N,42.12114264,71¡38_24_W,-71.64004382
42¡34_57_N,42.58246461,72¡14_48_W,-72.24662657
42¡04_42_N,42.07829195,73¡09_04_W,-73.15108942
42¡39_16_N,42.65431,71¡41_28_W,-71.69105108
42¡38_38_N,42.64402289,71¡26_31_W,-71.44185997
42¡41_32_N,42.69221284,72¡24_31_W,-72.40865564
42¡40_12_N,42.67001434,72¡18_12_W,-72.30319842
42¡04_05_N,42.06814776,72¡04_50_W,-72.08045316
42¡38_56_N,42.6487811,72¡33_19_W,-72.55518631
42¡25_26_N,42.42376521,73¡10_31_W,-73.17528384
42¡31_59_N,42.5329354,71¡09_17_W,-71.15459227
42¡35_23_N,42.58985954,72¡59_09_W,-72.98573078
42¡01_40_N,42.02765895,71¡11_58_W,-71.19955835
42¡00_40_N,42.0111642,72¡20_03_W,-72.33404658
42¡38_33_N,42.64242645,72¡47_37_W,-72.79352317
42¡15_21_N,42.25592351,72¡34_20_W,-72.57216022
42¡28_09_N,42.46924465,72¡55_17_W,-72.9214032
42¡18_33_N,42.30906061,72¡54_56_W,-72.91549534
42¡30_45_N,42.51254587,71¡47_26_W,-71.7906116
42¡20_45_N,42.34585931,71¡37_18_W,-71.62177901
42¡35_30_N,42.59176078,71¡17_50_W,-71.29708952
42¡40_06_N,42.66846884,72¡44_26_W,-72.74067211
42¡13_06_N,42.21831217,72¡23_28_W,-72.3910614
42¡05_18_N,42.08834435,71¡10_26_W,-71.1739774
42¡32_26_N,42.54068953,72¡09_54_W,-72.16495672
42¡41_41_N,42.69477953,71¡23_18_W,-71.38832299
42¡03_53_N,42.06474958,72¡23_17_W,-72.38801149
42¡29_40_N,42.49430804,72¡48_50_W,-72.81390817
42¡03_39_N,42.06084516,71¡49_59_W,-71.83334802
42¡22_44_N,42.37879913,72¡38_42_W,-72.64509005
42¡16_35_N,42.27628898,72¡50_07_W,-72.83529712
42¡27_11_N,42.45314867,72¡20_43_W,-72.34528822
42¡30_00_N,42.50002558,72¡10_07_W,-72.16874806
42¡27_25_N,42.45686524,73¡07_25_W,-73.12365908
42¡07_16_N,42.12118656,72¡00_11_W,-72.00304418
42¡08_34_N,42.14275729,71¡17_53_W,-71.29814424
42¡36_36_N,42.61000078,73¡14_22_W,-73.23937938
42¡03_57_N,42.06573275,72¡36_12_W,-72.60344291
42¡31_55_N,42.53208167,71¡05_48_W,-71.09666018
42¡40_09_N,42.66924033,71¡29_36_W,-71.49346905
42¡05_22_N,42.08954458,72¡53_47_W,-72.89644569
42¡33_53_N,42.56476645,73¡00_28_W,-73.00768047
42¡38_43_N,42.64522937,71¡25_36_W,-71.42676816
42¡40_54_N,42.68176178,71¡30_43_W,-71.51198175
42¡20_05_N,42.33461002,72¡17_04_W,-72.28447211
42¡33_44_N,42.56216359,71¡46_08_W,-71.76899498
42¡34_55_N,42.58198309,72¡58_13_W,-72.97036115
42¡27_16_N,42.45437708,73¡08_58_W,-73.14935604
42¡38_47_N,42.64645096,72¡42_39_W,-72.7107316
42¡33_29_N,42.55803243,71¡55_00_W,-71.91670693
42¡16_52_N,42.28109447,72¡14_36_W,-72.24344168
42¡10_56_N,42.18226904,72¡20_17_W,-72.33797028
42¡16_57_N,42.28246261,72¡43_37_W,-72.72691869
42¡11_08_N,42.18548695,71¡16_25_W,-71.27372744
42¡23_29_N,42.39144174,72¡30_51_W,-72.51425843
42¡11_26_N,42.19054561,71¡31_41_W,-71.52818022
42¡04_00_N,42.06668784,71¡14_03_W,-71.23410369
42¡00_27_N,42.00762779,71¡05_30_W,-71.09178555
42¡03_20_N,42.05567823,72¡33_40_W,-72.56097754
42¡09_41_N,42.16141934,71¡42_06_W,-71.70174828
42¡20_34_N,42.34273562,71¡34_07_W,-71.56867762
42¡15_35_N,42.25960596,71¡05_41_W,-71.094813
42¡27_51_N,42.46409406,71¡24_18_W,-71.40493968
42¡31_56_N,42.53210941,72¡53_02_W,-72.88394639
42¡23_40_N,42.39453396,71¡06_55_W,-71.11541385
42¡17_18_N,42.28828893,71¡11_16_W,-71.18788196
42¡03_32_N,42.05884849,71¡38_20_W,-71.63882516
42¡09_38_N,42.16062303,72¡11_14_W,-72.1872321
42¡38_57_N,42.64927979,72¡12_10_W,-72.20274815
42¡17_12_N,42.28659913,71¡24_42_W,-71.41169671
42¡41_23_N,42.68981795,72¡59_49_W,-72.99707167
42¡19_06_N,42.31842567,72¡54_44_W,-72.91216239
42¡03_09_N,42.0525045,71¡03_11_W,-71.05301053
42¡29_31_N,42.49203738,71¡03_33_W,-71.05927997
42¡37_06_N,42.61832056,72¡53_17_W,-72.88814655
42¡39_35_N,42.65977277,72¡31_34_W,-72.52615289
42¡02_41_N,42.0448025,72¡08_38_W,-72.14391064
42¡03_53_N,42.06468237,73¡14_22_W,-73.23933429
42¡41_43_N,42.69536337,73¡04_37_W,-73.07700106
42¡20_53_N,42.34815243,71¡43_07_W,-71.71853285
42¡00_08_N,42.00231506,73¡12_12_W,-73.20340546
42¡16_52_N,42.28123259,73¡11_54_W,-73.19843854
42¡39_50_N,42.66396554,71¡21_52_W,-71.36457117
42¡31_30_N,42.52505309,71¡45_26_W,-71.75711034
42¡30_03_N,42.50073446,72¡56_49_W,-72.94687275
42¡40_54_N,42.6815585,71¡56_33_W,-71.94238943
42¡34_29_N,42.57459053,71¡37_21_W,-71.62250032
42¡09_44_N,42.16224303,71¡42_05_W,-71.70144279
42¡18_53_N,42.31463908,71¡01_26_W,-71.02383186
42¡16_39_N,42.27756583,72¡17_16_W,-72.28782178
42¡04_48_N,42.07990795,72¡42_08_W,-72.70215962
42¡11_24_N,42.18991742,72¡14_54_W,-72.24831359
42¡25_42_N,42.42838058,71¡29_53_W,-71.4980713
42¡25_51_N,42.43089584,72¡29_36_W,-72.49342194
42¡28_11_N,42.46981289,73¡03_34_W,-73.05933513
42¡16_35_N,42.27637717,72¡52_38_W,-72.87734029
42¡02_11_N,42.0362831,71¡09_16_W,-71.15447533
42¡21_38_N,42.36058193,72¡24_57_W,-72.41596623
42¡10_42_N,42.17827195,71¡39_39_W,-71.66087097
